"","full_ti","distributor","gross","days","date","number_comments"
"1","A Quiet Place","Paramount Pictures",18861111,1,2018-04-06,244
"2","A Quiet Place","Paramount Pictures",19086510,2,2018-04-07,108
"3","A Quiet Place","Paramount Pictures",12255941,3,2018-04-08,74
"4","A Quiet Place","Paramount Pictures",4170622,4,2018-04-09,28
"5","A Quiet Place","Paramount Pictures",5364754,5,2018-04-10,11
"6","A Quiet Place","Paramount Pictures",3664805,6,2018-04-11,10
"7","A Quiet Place","Paramount Pictures",3632142,7,2018-04-12,6
"8","A Simple Favor","Lionsgate",5956444,1,2018-09-14,0
"9","A Simple Favor","Lionsgate",6306587,2,2018-09-15,0
"10","A Simple Favor","Lionsgate",3748658,3,2018-09-16,13
"11","A Simple Favor","Lionsgate",1276260,4,2018-09-17,47
"12","A Simple Favor","Lionsgate",2297533,5,2018-09-18,34
"13","A Simple Favor","Lionsgate",1331685,6,2018-09-19,25
"14","A Simple Favor","Lionsgate",1245247,7,2018-09-20,24
"15","A Wrinkle in Time","Walt Disney",10208602,1,2018-03-09,206
"16","A Wrinkle in Time","Walt Disney",13617058,2,2018-03-10,80
"17","A Wrinkle in Time","Walt Disney",9297949,3,2018-03-11,73
"18","A Wrinkle in Time","Walt Disney",2643504,4,2018-03-12,39
"19","A Wrinkle in Time","Walt Disney",3819226,5,2018-03-13,11
"20","A Wrinkle in Time","Walt Disney",2562092,6,2018-03-14,14
"21","A Wrinkle in Time","Walt Disney",2346223,7,2018-03-15,9
"22","Black Panther","Walt Disney",75941146,1,2018-02-16,310
"23","Black Panther","Walt Disney",65995366,2,2018-02-17,99
"24","Black Panther","Walt Disney",60067439,3,2018-02-18,50
"25","Black Panther","Walt Disney",40151729,4,2018-02-19,28
"26","Black Panther","Walt Disney",20857361,5,2018-02-20,2
"27","Black Panther","Walt Disney",14688057,6,2018-02-21,1
"28","Black Panther","Walt Disney",14253324,7,2018-02-22,1
"29","Blockers","Universal",7768185,1,2018-04-06,59
"30","Blockers","Universal",8223180,2,2018-04-07,116
"31","Blockers","Universal",4564985,3,2018-04-08,84
"32","Blockers","Universal",1435505,4,2018-04-09,47
"33","Blockers","Universal",2039640,5,2018-04-10,34
"34","Blockers","Universal",1336975,6,2018-04-11,28
"35","Blockers","Universal",1265200,7,2018-04-12,20
"36","Christopher Robin","Walt Disney",9514392,1,2018-08-03,27
"37","Christopher Robin","Walt Disney",8643041,2,2018-08-04,74
"38","Christopher Robin","Walt Disney",6427706,3,2018-08-05,83
"39","Christopher Robin","Walt Disney",3100223,4,2018-08-06,54
"40","Christopher Robin","Walt Disney",4480368,5,2018-08-07,25
"41","Christopher Robin","Walt Disney",2828425,6,2018-08-08,23
"42","Christopher Robin","Walt Disney",2595162,7,2018-08-09,20
"43","Dr. Seuss’ The Grinch","Universal",18641165,1,2018-11-09,41
"44","Dr. Seuss’ The Grinch","Universal",27444270,2,2018-11-10,24
"45","Dr. Seuss’ The Grinch","Universal",21487420,3,2018-11-11,33
"46","Dr. Seuss’ The Grinch","Universal",10665595,4,2018-11-12,24
"47","Dr. Seuss’ The Grinch","Universal",4952140,5,2018-11-13,16
"48","Dr. Seuss’ The Grinch","Universal",2661885,6,2018-11-14,12
"49","Dr. Seuss’ The Grinch","Universal",2523805,7,2018-11-15,9
"50","Game Night","Warner Bros.",5596003,1,2018-02-23,35
"51","Game Night","Warner Bros.",6977434,2,2018-02-24,111
"52","Game Night","Warner Bros.",4431895,3,2018-02-25,53
"53","Game Night","Warner Bros.",1303144,4,2018-02-26,49
"54","Game Night","Warner Bros.",1902236,5,2018-02-27,17
"55","Game Night","Warner Bros.",1351989,6,2018-02-28,26
"56","Game Night","Warner Bros.",1265065,7,2018-03-01,19
"57","Hotel Transylvania 3: Summer Vacation","Sony Pictures",16930506,1,2018-07-13,6
"58","Hotel Transylvania 3: Summer Vacation","Sony Pictures",15217792,2,2018-07-14,8
